cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
49.5,58.4,5.0,10.9,4019617792,50.9,1747376618.376541
2.0,72.4,40.0,10.4,4019601408,50.9,1747376619.377689
3.1,94.9,15.0,11.0,4019597312,50.9,1747376620.379231
9.1,94.9,17.0,12.9,4021108736,50.9,1747376621.380483
4.0,95.0,17.2,17.5,4020125696,50.9,1747376622.381569
1.0,95.0,14.0,10.1,4020355072,50.9,1747376623.383309
2.0,95.0,15.2,13.3,4020588544,50.9,1747376624.384568
5.0,95.0,16.2,15.2,4020613120,50.9,1747376625.386272
2.1,95.0,17.0,9.3,4020867072,50.9,1747376626.387547
4.1,91.9,20.2,16.2,4020871168,50.9,1747376627.390333
15.0,80.2,18.2,16.2,4021202944,50.9,1747376628.393431
16.8,95.0,8.1,2.0,4021112832,50.9,1747376629.394755
12.1,96.0,11.1,8.1,4021882880,50.9,1747376630.395954
16.0,94.9,12.1,11.0,4022382592,50.9,1747376631.397235
25.0,5.0,14.9,85.1,4021788672,50.9,1747376632.398507
11.2,8.1,10.2,96.0,4021137408,50.9,1747376633.399618
5.0,84.2,10.3,21.0,4021075968,50.9,1747376634.402238
7.1,96.9,12.1,16.8,4021551104,50.9,1747376635.403325
10.3,93.0,20.8,14.4,4020776960,50.9,1747376636.406219
11.0,83.8,6.1,27.3,4020961280,50.9,1747376637.407434
11.8,89.9,11.2,16.3,4020740096,50.9,1747376638.408546
7.2,95.0,15.0,10.8,4020527104,50.9,1747376639.409645
3.0,96.9,13.4,11.0,4020785152,50.9,1747376640.410785
10.1,95.0,16.2,12.1,4020781056,50.9,1747376641.411866
9.4,94.1,15.0,14.9,4021551104,50.9,1747376642.412911
19.4,87.0,9.0,6.2,4021641216,50.9,1747376643.41399
23.2,95.0,5.1,9.0,4021538816,50.9,1747376644.415046
16.3,94.9,6.1,20.6,4022059008,50.9,1747376645.416168
8.1,96.0,7.0,19.8,4021547008,50.9,1747376646.417269
17.6,95.0,7.1,22.8,4022054912,50.9,1747376647.418548
8.2,95.0,6.1,12.1,4021600256,50.9,1747376648.419967
8.0,94.9,5.1,23.0,4021522432,50.9,1747376649.421381
15.8,95.9,11.3,19.0,4021780480,50.9,1747376650.424829
12.9,95.0,6.1,11.1,4022284288,50.9,1747376651.426507
84.0,14.1,16.2,24.5,4020494336,50.9,1747376652.427642
95.0,11.8,14.3,10.1,4019978240,50.9,1747376653.429421
96.0,8.3,17.0,1.0,4019941376,50.9,1747376654.430882
28.4,5.9,28.1,78.4,4020555776,50.9,1747376655.432698
7.1,13.1,17.0,95.0,4020445184,50.9,1747376656.433961
13.7,15.7,9.3,96.0,4020551680,50.9,1747376657.435731
17.8,53.1,8.0,55.0,4019658752,50.9,1747376658.437069
17.0,95.9,16.3,2.0,4019638272,50.9,1747376659.438888
7.1,95.0,16.2,10.2,4021432320,50.9,1747376660.442116
20.2,95.1,8.1,7.1,4021174272,50.9,1747376661.444032
18.2,96.0,16.2,3.0,4021174272,50.9,1747376662.445685
16.2,96.0,5.1,15.5,4020760576,50.9,1747376663.446918
11.3,96.0,9.0,12.9,4020658176,50.9,1747376664.448027
5.1,95.0,13.4,19.2,4021284864,50.9,1747376665.449129
13.9,95.0,13.1,13.9,4021149696,50.9,1747376666.452177
15.0,68.0,15.2,39.8,4021145600,50.9,1747376667.453485
10.4,2.0,15.2,95.0,4020957184,50.9,1747376668.454741
10.2,11.0,13.9,95.0,4020891648,50.9,1747376669.455869
17.0,14.0,14.0,96.0,4020146176,50.9,1747376670.456945
5.2,11.9,49.5,58.0,4019855360,50.9,1747376671.458088
10.3,12.1,28.3,83.0,4019335168,50.9,1747376672.459254
8.0,10.3,13.1,95.0,4018573312,50.9,1747376673.460302
18.2,10.0,6.1,94.9,4018544640,50.9,1747376674.461811
23.7,21.0,8.0,95.0,4018565120,50.9,1747376675.463505
12.0,12.0,5.2,96.0,4018532352,50.9,1747376676.465011
20.4,5.0,15.2,95.0,4019822592,50.9,1747376677.466614
12.5,8.2,11.0,96.0,4019671040,50.9,1747376678.468098
16.0,9.2,4.0,95.0,4019552256,50.9,1747376679.469263
18.0,10.0,13.1,96.0,4020277248,50.9,1747376680.471068
33.7,27.6,12.0,56.6,4019650560,50.9,1747376681.47258
96.1,4.0,16.5,11.2,4021366784,50.9,1747376682.474118
96.0,3.1,21.2,11.9,4021338112,50.9,1747376683.475597
95.0,7.0,18.4,10.9,4021329920,50.9,1747376684.477108
97.0,14.3,19.0,4.0,4022099968,50.9,1747376685.478772
94.9,16.2,19.4,4.1,4022075392,50.9,1747376686.480503
94.9,11.3,20.0,6.9,4021977088,50.9,1747376687.481883
95.0,2.0,19.8,9.5,4021293056,50.9,1747376688.483157
96.0,5.0,18.2,14.9,4021293056,50.9,1747376689.484273
95.0,10.9,14.0,8.5,4022947840,51.0,1747376690.48538
95.0,10.3,17.8,7.2,4023459840,51.0,1747376691.486499
96.0,15.0,18.0,11.0,4023975936,51.0,1747376692.487659
95.0,12.7,13.9,4.1,4023963648,51.0,1747376693.488719
95.0,9.3,14.3,9.1,4023959552,51.0,1747376694.490145
96.0,13.4,21.8,8.2,4024078336,51.0,1747376695.491366
88.1,11.1,15.2,12.1,4023648256,51.0,1747376696.492863
60.6,15.2,19.2,42.4,4023394304,51.0,1747376697.494611
95.0,14.3,13.0,7.0,4023754752,51.0,1747376698.496194
95.0,13.4,12.2,0.0,4023644160,51.0,1747376699.497852
76.8,14.1,15.8,30.3,4024000512,51.0,1747376700.499494
21.2,13.1,13.3,78.0,4023435264,51.0,1747376701.501019
6.1,15.0,20.2,95.0,4023582720,51.0,1747376702.502535
5.0,14.1,18.0,96.0,4023062528,51.0,1747376703.504106
11.1,12.9,3.1,94.9,4022845440,51.0,1747376704.505306
18.2,13.3,15.8,96.0,4022038528,50.9,1747376705.506544
14.9,10.0,10.3,94.9,4021792768,50.9,1747376706.508155
15.2,12.2,8.0,95.9,4021567488,50.9,1747376707.509383
12.0,10.2,13.9,95.0,4021542912,50.9,1747376708.511062
13.0,5.1,16.3,95.0,4021534720,50.9,1747376709.512969
86.0,6.0,13.1,26.3,4021784576,50.9,1747376710.514599
96.0,10.2,12.2,12.1,4021633024,50.9,1747376711.516131
96.0,13.1,14.1,12.2,4023590912,51.0,1747376712.51835
2.0,17.0,12.2,94.0,4022546432,50.9,1747376713.520211
3.0,20.2,12.2,95.0,4022542336,50.9,1747376714.521315
4.0,80.0,14.7,32.3,4023050240,51.0,1747376715.52285
3.1,96.0,12.2,18.0,4022272000,50.9,1747376716.524357
5.1,95.0,16.8,21.0,4022280192,50.9,1747376717.525936
5.1,94.1,13.1,14.0,4021751808,50.9,1747376718.527094
79.0,6.1,14.3,27.3,4021993472,50.9,1747376719.528162
67.0,9.9,44.0,15.2,4023644160,51.0,1747376720.530264
2.0,7.2,61.0,52.0,4023275520,51.0,1747376721.531813
21.2,17.0,15.5,86.0,4023513088,51.0,1747376722.533049
76.5,26.5,16.2,13.3,4023877632,51.0,1747376723.534604
30.3,28.0,60.8,2.1,4023762944,51.0,1747376724.536294
96.0,19.2,19.0,6.1,4024279040,51.0,1747376725.537907
96.0,13.0,13.9,4.1,4023754752,51.0,1747376726.542321
95.1,11.2,19.8,6.1,4024893440,51.0,1747376727.543452
96.9,17.8,15.8,7.1,4021940224,50.9,1747376728.544606
95.0,13.0,9.0,6.1,4021936128,50.9,1747376729.5457
96.0,14.0,16.3,8.2,4023226368,51.0,1747376730.546798
57.0,11.0,17.3,44.4,4022444032,50.9,1747376731.547856
12.0,14.0,8.1,96.0,4022550528,50.9,1747376732.549475
15.5,10.3,21.0,95.0,4022177792,50.9,1747376733.550882
11.1,8.9,12.5,96.0,4022431744,50.9,1747376734.55205
12.1,8.0,20.0,94.1,4024229888,51.0,1747376735.55311
10.3,20.2,5.9,96.0,4023058432,51.0,1747376736.554599
13.1,19.2,6.2,95.0,4023209984,51.0,1747376737.555741
0.0,13.1,16.0,95.0,4023275520,51.0,1747376738.557158
4.0,14.3,15.0,96.0,4023173120,51.0,1747376739.558288
4.0,10.1,18.4,96.0,4024827904,51.0,1747376740.559675
15.0,7.0,14.1,95.0,4024561664,51.0,1747376741.560851
14.1,17.2,17.6,90.0,4023836672,51.0,1747376742.56214
7.0,59.0,24.3,40.0,4023930880,51.0,1747376743.563276
15.3,95.9,16.5,2.0,4023918592,51.0,1747376744.564461
23.2,95.0,13.3,7.0,4024696832,51.0,1747376745.566298
14.3,96.0,3.1,11.9,4024692736,51.0,1747376746.567668
16.0,95.0,15.2,10.2,4025085952,51.0,1747376747.568774
41.0,66.7,19.6,4.1,4023910400,51.0,1747376748.569919
10.1,95.1,2.0,15.2,4023894016,51.0,1747376749.570956
12.0,94.9,11.1,18.4,4024590336,51.0,1747376750.572038
13.1,86.1,15.5,15.2,4024213504,51.0,1747376751.573085
13.0,96.0,9.1,15.0,4024737792,51.0,1747376752.574491
11.2,96.0,11.0,13.0,4024401920,51.0,1747376753.575787
12.9,95.0,4.1,12.0,4024401920,51.0,1747376754.576911
7.4,96.0,16.2,16.0,4025761792,51.0,1747376755.578813
10.4,96.0,15.3,16.8,4026204160,51.0,1747376756.581939
14.0,95.0,10.8,19.4,4026179584,51.0,1747376757.585697
12.9,94.9,14.1,12.0,4025065472,51.0,1747376758.587273
9.3,96.0,12.2,11.0,4025581568,51.0,1747376759.588929
12.1,78.0,11.1,28.3,4025892864,51.0,1747376760.59015
13.9,95.0,13.1,12.1,4025827328,51.0,1747376761.591654
13.4,96.0,14.1,13.9,4027387904,51.0,1747376762.593145
10.1,95.0,5.1,15.2,4026957824,51.0,1747376763.59423
4.0,71.7,43.0,7.2,4026314752,51.0,1747376764.595494
22.4,2.0,97.0,16.8,4027043840,51.0,1747376765.598618
59.4,7.1,46.1,13.1,4026159104,51.0,1747376766.600131
96.0,8.1,12.1,20.2,4026368000,51.0,1747376767.601755
38.4,11.2,16.8,59.4,4025634816,51.0,1747376768.603337
77.0,20.4,8.1,29.6,4025524224,51.0,1747376769.604957
96.0,18.2,10.9,13.0,4026892288,51.0,1747376770.606612
95.0,13.9,4.1,11.2,4026548224,51.0,1747376771.607855
96.9,15.0,9.3,15.2,4026732544,51.0,1747376772.609085
87.1,3.0,18.4,23.2,4026290176,51.0,1747376773.610584
50.5,22.2,11.0,40.4,4026286080,51.0,1747376774.611754
95.0,18.2,14.3,13.3,4027060224,51.0,1747376775.612875
86.0,22.0,12.1,13.6,4026593280,51.0,1747376776.614092
96.0,13.1,11.2,8.2,4027047936,51.0,1747376777.615249
77.6,24.0,17.5,11.1,4027047936,51.0,1747376778.616898
86.0,10.1,7.0,20.8,4027039744,51.0,1747376779.618184
95.0,10.2,11.9,19.0,4027285504,51.0,1747376780.619795
95.9,11.1,4.2,18.8,4026826752,51.0,1747376781.621339
95.0,12.2,6.1,15.0,4026757120,51.0,1747376782.622928
96.0,3.0,12.5,18.2,4027121664,51.0,1747376783.62453
93.9,5.1,12.2,21.8,4027002880,51.0,1747376784.626122
96.0,7.1,12.1,19.0,4027138048,51.0,1747376785.627713
94.9,15.0,15.2,8.1,4026585088,51.0,1747376786.629241
96.0,18.2,11.5,10.9,4026753024,51.0,1747376787.630449
95.0,14.1,12.1,3.1,4025974784,51.0,1747376788.631601
96.0,17.0,12.4,4.1,4026200064,51.0,1747376789.632818
96.0,11.1,10.3,17.8,4026974208,51.0,1747376790.633982
95.0,1.0,13.5,13.1,4026208256,51.0,1747376791.635048
97.0,11.0,17.0,14.9,4027187200,51.0,1747376792.636157
96.0,3.0,11.2,14.0,4026650624,51.0,1747376793.642262
95.9,7.1,14.9,13.0,4026417152,51.0,1747376794.64341
95.0,7.1,14.1,23.0,4026523648,51.0,1747376795.645208
95.1,3.1,9.4,12.1,4025909248,51.0,1747376796.64678
96.0,9.0,13.3,19.8,4026441728,51.0,1747376797.648756
95.0,11.2,4.1,18.0,4026155008,51.0,1747376798.650546
96.0,6.0,11.3,11.9,4026150912,51.0,1747376799.652035
