cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
5.1,20.8,7.9,6.0,3419000832,43.6,1747368571.997593
4.0,11.2,2.0,2.0,3418750976,43.6,1747368572.998642
2.0,15.0,3.0,3.0,3418742784,43.6,1747368573.999561
1.0,10.0,2.0,5.0,3419000832,43.6,1747368575.000532
3.0,16.0,5.0,5.0,3419258880,43.6,1747368576.00146
3.0,5.1,4.0,14.1,3419246592,43.6,1747368577.003855
11.9,8.0,7.0,0.0,3419246592,43.6,1747368578.005519
1.0,14.1,5.9,1.0,3419246592,43.6,1747368579.006738
6.1,15.0,5.0,3.0,3420020736,43.6,1747368580.007916
2.0,1.0,12.0,3.1,3420278784,43.6,1747368581.00931
12.9,6.0,0.0,3.9,3419762688,43.6,1747368582.010862
11.1,9.9,2.0,2.0,3419746304,43.6,1747368583.011881
11.9,0.0,1.0,2.0,3419742208,43.6,1747368584.013256
12.0,5.1,2.0,6.9,3419746304,43.6,1747368585.015134
3.0,5.0,11.2,4.0,3418714112,43.6,1747368586.01637
15.0,4.0,2.0,0.0,3418198016,43.6,1747368587.017538
10.1,3.0,6.0,0.0,3418193920,43.6,1747368588.019402
18.8,2.0,1.0,1.0,3418185728,43.6,1747368589.02067
15.0,4.0,8.9,2.0,3419725824,43.6,1747368590.022216
14.0,1.0,8.0,4.0,3419471872,43.6,1747368591.023264
10.1,2.0,2.0,2.0,3418959872,43.6,1747368592.024211
9.0,2.0,5.1,2.0,3418959872,43.6,1747368593.025173
9.2,2.0,11.0,3.0,3418497024,43.6,1747368594.027024
17.0,5.1,5.0,5.9,3419721728,43.6,1747368595.030264
11.1,2.0,9.0,0.0,3419197440,43.6,1747368596.031559
2.0,19.8,2.0,2.0,3418935296,43.6,1747368597.03307
1.0,2.0,10.1,0.0,3418935296,43.6,1747368598.034518
2.0,7.0,2.0,10.1,3418927104,43.6,1747368599.035499
4.0,7.1,5.9,22.8,3419185152,43.6,1747368600.03648
2.0,2.0,2.0,12.1,3419185152,43.6,1747368601.037456
4.0,6.1,2.0,10.9,3416236032,43.6,1747368602.038496
2.0,10.1,2.0,1.0,3416236032,43.6,1747368603.039455
2.0,15.8,4.0,1.0,3416227840,43.6,1747368604.040429
2.0,17.2,7.9,5.1,3417890816,43.6,1747368605.042403
2.0,10.1,6.0,7.9,3418816512,43.6,1747368606.043846
4.0,13.0,7.1,1.0,3418038272,43.6,1747368607.044816
5.0,12.0,8.0,1.0,3417522176,43.6,1747368608.045785
3.0,9.9,1.0,0.0,3417518080,43.6,1747368609.046726
5.9,11.0,7.1,7.8,3418656768,43.6,1747368610.048285
7.0,22.4,1.0,2.0,3417776128,43.6,1747368611.049411
2.0,0.0,11.1,1.0,3417243648,43.6,1747368612.050519
3.0,5.9,12.0,1.0,3417243648,43.6,1747368613.051526
3.0,5.1,3.0,8.1,3417243648,43.6,1747368614.052525
4.0,7.9,3.0,12.0,3418054656,43.6,1747368615.053683
2.0,7.0,3.0,10.0,3417501696,43.6,1747368616.055877
3.0,1.0,4.0,21.0,3417243648,43.6,1747368617.057279
2.0,15.0,3.9,2.9,3417243648,43.6,1747368618.058321
4.0,15.2,1.0,1.0,3416969216,43.6,1747368619.059242
6.1,13.1,5.0,3.0,3418214400,43.6,1747368620.060259
4.0,16.0,2.0,3.0,3417735168,43.6,1747368621.062101
18.0,15.0,2.1,3.1,3417993216,43.6,1747368622.063165
11.0,1.0,2.0,2.0,3417993216,43.6,1747368623.064164
1.0,14.1,2.0,1.0,3417985024,43.6,1747368624.06511
9.7,7.9,12.1,4.1,3419267072,43.6,1747368625.066214
2.0,1.0,11.0,1.0,3419127808,43.6,1747368626.067313
2.0,6.1,14.1,1.0,3419537408,43.6,1747368627.0692
4.0,6.9,17.2,2.0,3419537408,43.6,1747368628.07054
2.0,1.0,10.1,1.0,3419529216,43.6,1747368629.071518
4.0,10.0,12.9,5.9,3421351936,43.6,1747368630.072463
2.0,5.1,10.1,1.0,3420819456,43.6,1747368631.074269
1.0,1.0,12.0,2.0,3420037120,43.6,1747368632.075295
3.0,4.0,16.0,2.9,3420045312,43.6,1747368633.07708
1.0,18.0,3.0,1.0,3420045312,43.6,1747368634.078423
3.0,4.0,10.1,14.1,3419717632,43.6,1747368635.07935
3.0,2.0,6.0,10.9,3418730496,43.6,1747368636.080274
9.0,42.0,2.0,5.9,3418996736,43.6,1747368637.081239
11.1,2.0,6.9,1.0,3419254784,43.6,1747368638.082184
18.0,10.0,9.1,5.1,3419242496,43.6,1747368639.083122
13.0,2.0,8.0,4.0,3420278784,43.6,1747368640.084416
12.9,3.0,6.1,3.0,3420020736,43.6,1747368641.085487
11.0,3.0,6.1,1.0,3419865088,43.6,1747368642.086656
10.1,2.0,1.0,0.0,3419738112,43.6,1747368643.087653
10.2,0.0,5.2,0.0,3417300992,43.6,1747368644.089459
20.0,3.1,14.1,7.9,3419885568,43.6,1747368645.09091
12.0,3.0,2.0,0.0,3419627520,43.6,1747368646.091881
14.0,2.0,6.1,1.0,3419627520,43.6,1747368647.092817
11.0,0.0,1.0,1.0,3418853376,43.6,1747368648.093842
11.0,2.0,6.1,1.0,3418853376,43.6,1747368649.094796
16.3,6.0,8.1,8.0,3420766208,43.6,1747368650.096131
17.8,3.0,3.0,4.0,3420401664,43.6,1747368651.097348
